eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Erynnis brizo,Erynnis brizo,,,,,3.491666667,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Erynnis funeralis,Erynnis funeralis,,,,,3.743262987,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Erynnis horatius,Erynnis horatius,,,,,3.767261905,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Erynnis icelus,Erynnis icelus,,,,,2.872222222,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Erynnis juvenalis,Erynnis juvenalis,,,,,3.741071429,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Erynnis lucilius,Erynnis lucilius,,,,,3.066666667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,FALSE,
Erynnis pacuvius,Erynnis pacuvius,,,,,3.283333333,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Erynnis persius,Erynnis persius,,,,,3.0625,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,FALSE,
Erynnis propertius,Erynnis propertius,,,,,3.675,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Erynnis tristis,Erynnis tristis,,,,,3.9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Erynnis zarucco,Erynnis zarucco,,,,,3.881666667,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Euchloe ausonides,Euchloe ausonides,,,,,4.1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Euchloe lotta,Euchloe lotta,,,,,3.525,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Euchloe olympia,Euchloe olympia,,,,,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,FALSE,
Eumaeus atala,Eumaeus atala,,,,,4.55,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,5,1,FALSE,
Euphilotes battoides,Euphilotes battoides,,,,,1.983333334,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,6,2,FALSE,
Euphilotes enoptes,Euphilotes enoptes,,,,,2.075,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,5,2,FALSE,
Euphydryas anicia,Occidryas anicia,,Euphydryas anicia,Euphydryas anicia,,3.55,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,FALSE,
Euphydryas chalcedona,Occidryas chalcedona,,Euphydryas chalcedona,Euphydryas chalcedona,,4.364955,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,6,2,FALSE,
Euphydryas editha,"Occidryas editha, Occidryas rubicunda",,Euphydryas editha,Euphydryas editha,,3.549985,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,5,2,TRUE,
Euphydryas phaeton,Euphydryas phaeton,,,,,5.366666667,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Euphyes bimacula,Euphyes bimacula,,,,,3.441666667,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Euphyes conspicua,Euphyes conspicua,,,,,3.2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,4,2,FALSE,
Euphyes dion,Euphyes dion,,,,,3.7,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,1,FALSE,
Euphyes vestris,Euphyes vestris,,,,,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5,1,FALSE,
Euptoieta claudia,Euptoieta claudia,,,,,5.614285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,TRUE,
Euptoieta hegesia,Euptoieta hegesia,,,,,6.386666667,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
