locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,establishmentMeans,degreeOfEstablishment,isHybrid,pathway,habitat,Biocontrol,associatedTaxa,eventRemarks,IntroDateNumber,taxonRemarks,kingdom,phylum,class,order,family,taxonomicStatus,ITIS_TSN,GBIF_taxonKey,taxonID,Authority,WebLink,associatedReferences,eventDate,modified,Update_Remarks,occurrenceRemarks,occurrenceID
L48,Thecla limenia,"Hewitson, 1868",Hairstreak moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1971,1971,Other name(s): Strymon limenia,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Accepted GBIF,,1929973,https://www.gbif.org/species/1929973,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2022-08-02,Added taxonRemarks,,USRIIS-L48-Animalia15309
L48,Thera juniperata,"(Linnaeus, 1758)",Juniper carpet,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Accepted GBIF,942905,5148462,https://www.gbif.org/species/5148462,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2017-01-26,,,USRIIS-L48-Animalia5044
L48,Thymelicus lineola,"(Ochsenheimer, 1808)",European skipper,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1910 (Seebens (2021)),1910,,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Accepted GBIF,188609,8133678,https://www.gbif.org/species/8133678,NatureServe Explorer (2020cs),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119742/Thymelicus_lineola,"NatureServe Explorer (2020cs), https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119742/Thymelicus_lineola",2018-08-31,2022-03-28,Added eventRemarks,Queried from NatureServe database and downloaded as part of an xlsx file,USRIIS-L48-Animalia11915
L48,Thymelicus sylvestris,"(Poda, 1761)",Hesperiid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1899,1899,,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Accepted GBIF,,8273661,https://www.gbif.org/species/8273661,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15316
L48,Tinea pellionella,"Linnaeus, 1758",Case-making clothes moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1565?,1565,,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Accepted GBIF,,1858163,https://www.gbif.org/species/1858163,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2021-03-10,2021-10-29,Added scientificNameAuthorship; Updated Source Type,,USRIIS-L48-Animalia13075
L48,Tineola bisselliella,"(Hummel, 1823)",Webbing clothes moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",widespread invasive (category E),FALSE,,,,,approx. date of introduction: 1565?,1565,,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Accepted GBIF,,1857626,https://www.gbif.org/species/1857626,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2021-03-10,2022-05-09,Changed degreeOfEstablishment based on GBIF map; Added scientificNameAuthorship; Updated Source Type,,USRIIS-L48-Animalia13076
L48,Trachylepidia fructicassiella,"Ragonot, 1887",Cassia seed borer,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1869680,https://www.gbif.org/species/1869680,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2017-01-03,2021-10-29,Added scientificNameAuthorship; Updated websiteURL,,USRIIS-L48-Animalia4765
L48,Trichophaga tapetzella,"(Linnaeus, 1758)",Teneid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1841,1841,,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Accepted GBIF,,1857577,https://www.gbif.org/species/1857577,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15330
L48,Tuerta hemicycla,"Hampson, 1904",Noctuid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1982,1982,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,,1791060,https://www.gbif.org/species/1791060,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15342
L48,Tyria jacobaeae,"(Linnaeus, 1758)",Cinnabar moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,Other name(s): Tyria jacobaea,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,117314,5115777,https://www.gbif.org/species/5115777,Zahini et al. (2017),https://doi.org/10.1371/journal.pone.0178548,"Zahini et al. (2017), https://doi.org/10.1371/journal.pone.0178548",2020-10-15,2021-06-02,Added Other Names,,USRIIS-L48-Animalia12999
